Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0906ST,`33,`000,State - TAMIL NADU,Total,Total,66695,32578,34117,12153,5414,6739,6765,3551,3214,47551,21341,26210,5952,3448,2504,418,230,188,1868,688,1180,2940,1722,1218,158,86,72,4330,2592,1738,2,2,0,1198,694,504,492,476,16,212,148,64,2,2,0,64,40,24,130,100,30,358,248,110,278,128,150,978,226,752,5152,2270,2882
B0906ST,`33,`000,State - TAMIL NADU,Total,`5-14,2637,1345,1292,356,184,172,223,120,103,1212,601,611,134,76,58,4,2,2,46,18,28,70,34,36,14,8,6,40,24,16,0,0,0,28,24,4,2,2,0,8,6,2,0,0,0,2,2,0,2,2,0,2,2,0,14,6,8,36,16,20,1156,586,570
B0906ST,`33,`000,State - TAMIL NADU,Total,15-34,31370,15374,15996,5714,2511,3203,3068,1531,1537,21540,9554,11986,2674,1512,1162,238,124,114,922,318,604,1670,968,702,78,50,28,2240,1432,808,0,0,0,604,376,228,352,344,8,102,78,24,2,2,0,50,32,18,68,56,12,168,122,46,198,94,104,508,114,394,2602,1178,1424
B0906ST,`33,`000,State - TAMIL NADU,Total,35-59,27418,12976,14442,4757,2072,2685,2849,1511,1338,20496,8965,11531,2652,1564,1088,152,88,64,738,276,462,1040,606,434,54,18,36,1802,1004,798,2,2,0,478,252,226,134,128,6,88,54,34,0,0,0,12,6,6,54,36,18,150,98,52,60,24,36,356,68,288,1058,348,710
B0906ST,`33,`000,State - TAMIL NADU,Total,60+,5219,2865,2354,1320,647,673,624,389,235,4281,2213,2068,490,296,194,24,16,8,158,74,84,156,114,42,12,10,2,242,130,112,0,0,0,88,42,46,4,2,2,14,10,4,0,0,0,0,0,0,6,6,0,38,26,12,6,4,2,78,28,50,318,152,166
B0906ST,`33,`000,State - TAMIL NADU,Total,Age not stated,51,18,33,6,0,6,1,0,1,22,8,14,2,0,2,0,0,0,4,2,2,4,0,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,12
B0906ST,`33,`000,State - TAMIL NADU,Rural,Total,59105,28342,30763,10306,4536,5770,6639,3497,3142,44750,19879,24871,4724,2706,2018,396,216,180,1580,592,988,2262,1312,950,56,22,34,3352,1920,1432,2,2,0,674,384,290,282,274,8,84,68,16,2,2,0,24,20,4,40,30,10,168,106,62,200,88,112,780,204,576,3396,1556,1840
B0906ST,`33,`000,State - TAMIL NADU,Rural,`5-14,2251,1147,1104,334,173,161,214,115,99,1163,571,592,122,70,52,4,2,2,42,16,26,62,30,32,2,0,2,36,22,14,0,0,0,16,14,2,0,0,0,6,6,0,0,0,0,0,0,0,2,2,0,2,2,0,14,6,8,32,14,18,868,450,418
B0906ST,`33,`000,State - TAMIL NADU,Rural,15-34,27755,13306,14449,4817,2085,2732,3004,1505,1499,20322,8928,11394,2084,1146,938,230,120,110,804,276,528,1306,754,552,26,12,14,1802,1130,672,0,0,0,350,210,140,222,216,6,36,32,4,2,2,0,22,18,4,26,22,4,82,56,26,144,66,78,404,106,298,1706,792,914
B0906ST,`33,`000,State - TAMIL NADU,Rural,35-59,24371,11335,13036,3995,1734,2261,2803,1491,1312,19203,8306,10897,2106,1246,860,138,78,60,606,238,368,790,458,332,26,8,18,1324,676,648,2,2,0,260,142,118,58,58,0,34,24,10,0,0,0,2,2,0,10,4,6,64,38,26,38,14,24,276,58,218,626,226,400
B0906ST,`33,`000,State - TAMIL NADU,Rural,60+,4687,2539,2148,1154,544,610,617,386,231,4042,2067,1975,410,244,166,24,16,8,124,60,64,100,70,30,2,2,0,184,90,94,0,0,0,48,18,30,2,0,2,8,6,2,0,0,0,0,0,0,2,2,0,20,10,10,4,2,2,68,26,42,186,84,102
B0906ST,`33,`000,State - TAMIL NADU,Rural,Age not stated,41,15,26,6,0,6,1,0,1,20,7,13,2,0,2,0,0,0,4,2,2,4,0,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6
